0.7973 (+/-0.032) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7870 (+/-0.031) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7784 (+/-0.039) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 3, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7954 (+/-0.024) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7911 (+/-0.033) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7867 (+/-0.041) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7808 (+/-0.042) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 3.5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7938 (+/-0.023) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7953 (+/-0.033) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7849 (+/-0.026) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7769 (+/-0.036) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 3.5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7945 (+/-0.026) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7913 (+/-0.035) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7803 (+/-0.035) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7674 (+/-0.045) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 5, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7956 (+/-0.031) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7894 (+/-0.032) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7769 (+/-0.025) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7678 (+/-0.041) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 5, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}
0.7920 (+/-0.029) for {'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.03}
0.7743 (+/-0.035) for {'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.05}
0.7602 (+/-0.039) for {'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.07}
0.7518 (+/-0.036) for {'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.5}
0.7914 (+/-0.042) for {'classifier__C': 10, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.03}
0.7719 (+/-0.029) for {'classifier__C': 10, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}
0.7559 (+/-0.031) for {'classifier__C': 10, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.07}
0.7494 (+/-0.039) for {'classifier__C': 10, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.4164 (+/-0.017) for {'classifier__C': 10, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.5}

Best parameters:
{'classifier__C': 2, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.05}

Best score: 0.7983
