0.5155 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.5155 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.5155 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.5155 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.5155 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.5153 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
0.5153 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 5}
0.5153 (+/-0.042) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 1, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 10}
0.6874 (+/-0.026) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 2}
0.6874 (+/-0.026) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 5}
0.6874 (+/-0.026) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 2, 'replacer__n_neighbors': 10}
0.6874 (+/-0.024) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 2}
0.6874 (+/-0.024) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 5}
0.6874 (+/-0.024) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 5, 'replacer__n_neighbors': 10}
0.6879 (+/-0.025) for {'classifier__C': 0.03125, 'classifier__class_weight': 'balanced', 'classifier__degree': 2, 'imputer__n_neighbors': 10, 'replacer__n_neighbors': 2}
