0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.1168 (+/-0.009) for {'classifier__C': 1.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}
0.2311 (+/-0.014) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.4254 (+/-0.023) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.5559 (+/-0.025) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.7816 (+/-0.026) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.7518 (+/-0.036) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1572 (+/-0.002) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': None, 'classifier__gamma': 1000.0}
0.4434 (+/-0.028) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1e-05}
0.5072 (+/-0.031) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.0001}
0.5878 (+/-0.038) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}
0.7849 (+/-0.024) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.01}
0.7494 (+/-0.039) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.1}
0.1572 (+/-0.002) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 100.0}
0.1259 (+/-0.000) for {'classifier__C': 10.0, 'classifier__class_weight': 'balanced', 'classifier__gamma': 1000.0}
0.4245 (+/-0.021) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 1e-05}
0.5065 (+/-0.027) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.0001}
0.6968 (+/-0.029) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.001}
0.7915 (+/-0.033) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.01}
0.7356 (+/-0.033) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 0.1}
0.1572 (+/-0.002) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 1.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 10.0}
0.1259 (+/-0.000) for {'classifier__C': 100.0, 'classifier__class_weight': None, 'classifier__gamma': 100.0}
